"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19995140,"08/14/2022 07:35:00 AM","08/14/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","DEL AMO BLVD AND SUSANA RD, CARSON, CA","DEL AMO BLVD AND SUSANA RD","CARSON",,"922-08178-1622","1622","08178","NO","CA0190016","CARSON",-118.206,33.846,2
19987946,"08/06/2022 01:05:00 PM","08/06/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","8500 WASHINGTON BLVD, PICO RIVERA, CA 90660","8500 WASHINGTON BLVD","PICO RIVERA","90660","922-04774-1520","1520","04774","NO","CA0190015","PICO RIVERA",-118.104,33.985,1
19992124,"08/10/2022 04:59:00 PM","08/10/2022","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","4900 DURFEE AVE, PICO RIVERA, CA 90660","4900 DURFEE AVE","PICO RIVERA","90660","922-04871-1512","1512","04871","NO","CA0190015","PICO RIVERA",-118.078,34,2
19975321,"07/24/2022 01:00:50 PM","07/24/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","21900 S SALMON AVE, CARSON, CA 90745","21900 S SALMON AVE","CARSON","90745","022-07414-1622","1622","07414","NO","CA0190016","CARSON",-118.226,33.829,2
19974176,"07/22/2022 07:20:00 PM","07/22/2022","DRUNK DRIVING VEHICLE / BOAT","242","DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs","FOSTER RD AND FUNSTONE AVE, NORWALK, CA 90650","FOSTER RD AND FUNSTONE AVE","NORWALK","90650","922-08553-0454","0454","08553","NO","CA0190004","NORWALK",-118.074,33.905,2
19982534,"08/01/2022 09:15:00 AM","08/01/2022","VANDALISM","263","VANDALISM FELONY","20400 CEDARCREEK, CANYON COUNTRY, CA","20400 CEDARCREEK","CANYON COUNTRY",,"922-10631-0610","0610","10631","NO","CA0190006","SANTA CLARITA VALLEY",-118.493,34.424,2
19974180,"07/16/2022 07:00:00 PM","07/22/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","11900 162ND ST, NORWALK, CA 90650","11900 162ND ST","NORWALK","90650","922-08554-0458","0458","08554","NO","CA0190004","NORWALK",-118.078,33.884,1
19981287,"07/26/2022 08:30:00 PM","07/30/2022","AGGRAVATED ASSAULT","050","ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE","65TH ST E AND PALMDALE BLVD, PALMDALE, CA 93551","65TH ST E AND PALMDALE BLVD","PALMDALE","93551","022-09946-2607","2607","09946","NO","CA01900W9","PALMDALE",-118.013,34.579,1
19981131,"07/30/2022 02:00:00 AM","07/30/2022","VANDALISM","264","VANDALISM: Graffiti/Tagging","600 E UNIVERSITY DR, CARSON, CA 90746","600 E UNIVERSITY DR","CARSON","90746","922-07630-1614","1614","07630","NO","CA0190016","CARSON",-118.264,33.859,2
19974095,"08/04/2021 11:59:30 AM","07/22/2022","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","11900 PAINTER AVE, WHITTIER, CA 90605","11900 PAINTER AVE","WHITTIER","90605","922-08547-0494","0494","08547","NO","CA0190004","NORWALK",-118.053,33.922,2
19987983,"08/06/2022 04:30:00 AM","08/06/2022","BURGLARY","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","1100 110TH ST, LOS ANGELES, CA","1100 110TH ST","LOS ANGELES",,"922-06596-0375","0375","06596","NO","CA0190003","SOUTH LOS ANGELES",-118.294,33.935,1
19974476,"07/23/2022 05:05:00 PM","07/23/2022","LARCENY THEFT","083","GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)","12300 LA MIRADA BLVD, LA MIRADA, CA 90638","12300 LA MIRADA BLVD","LA MIRADA","90638","922-08575-0460","0460","08575","NO","CA0190004","NORWALK",-118.01,33.918,1
